Renamed,Original,Scenario,DS#,Random seed,filename,DGPid,trueATE
high1,CHDScenario3DS86,,3,0.337780775229441,high1,3,-0.800000000000001
high10,CHDScenario15DS13,,15,0.218848277916799,high10,15,-0.16058
high100,CHDScenario3DS72,,3,0.130251744231591,high100,3,-0.800000000000001
high1000,CHDScenario1DS50,50,1,0.425784461576418,high1000,1,0.2
high1001,CHDScenario15DS20,,15,0.307721358167384,high1001,15,-0.16058
high1002,CHDScenario6DS1,,6,0.567807174304433,high1002,6,-1.1039
high1003,CHDScenario6DS75,,6,0.407714658941775,high1003,6,-1.1039
high1004,CHDScenario14DS13,,14,0.35351650646737,high1004,14,61.11
high1005,CHDScenario6DS11,,6,0.974535436313897,high1005,6,-1.1039
high1006,CHDScenario9DS42,,9,0.739619904174329,high1006,9,12.62
high1007,CHDScenario16DS66,,16,0.81030013659789,high1007,16,1
high1008,CHDScenario1DS15,15,1,0.150957145309245,high1008,1,0.2
high1009,CHDScenario7DS81,,7,0.600630104769901,high1009,7,0
high101,CHDScenario16DS78,,16,0.0819751007528389,high101,16,1
high1010,CHDScenario11DS82,,11,0.596790355026503,high1010,11,10.77
high1011,CHDScenario10DS22,,10,0.208092197688178,high1011,10,9.134
high1012,CHDScenario14DS99,,14,0.529019939925166,high1012,14,61.11
high1013,CHDScenario16DS99,,16,0.793425278419162,high1013,16,1
high1014,CHDScenario15DS81,,15,0.531881183141435,high1014,15,-0.16058
high1015,CHDScenario5DS61,,5,0.196632364989263,high1015,5,-0.3429
high1016,CHDScenario11DS12,,11,0.547173382293564,high1016,11,10.77
high1017,CHDScenario16DS37,,16,0.19481150600344,high1017,16,1
high1018,CHDScenario14DS17,,14,0.0614804597967079,high1018,14,61.11
high1019,CHDScenario2DS86,186,2,0.657445233311644,high1019,2,0.8
high102,CHDScenario3DS77,,3,0.139950581900858,high102,3,-0.800000000000001
high1020,CHDScenario8DS41,,8,0.423596592487275,high1020,8,-1.432
high1021,CHDScenario8DS31,,8,0.77556617994587,high1021,8,-1.432
high1022,CHDScenario2DS58,158,2,0.749658794020654,high1022,2,0.8
high1023,CHDScenario10DS24,,10,0.995019899720868,high1023,10,9.134
high1024,CHDScenario14DS18,,14,0.188195221787496,high1024,14,61.11
high1025,CHDScenario12DS31,,12,0.602941530911272,high1025,12,-3.159
high1026,CHDScenario2DS54,154,2,0.351513862310505,high1026,2,0.8
high1027,CHDScenario3DS14,,3,0.00334679342425703,high1027,3,-0.800000000000001
high1028,CHDScenario8DS71,,8,0.520155222935355,high1028,8,-1.432
high1029,CHDScenario11DS81,,11,0.602313658756335,high1029,11,10.77
high103,CHDScenario13DS14,,13,0.786665828924802,high103,13,-0.8486
high1030,CHDScenario5DS42,,5,0.759698853876239,high1030,5,-0.3429
high1031,CHDScenario10DS79,,10,0.0659304923632662,high1031,10,9.134
high1032,CHDScenario2DS81,181,2,0.275789390060156,high1032,2,0.8
high1033,CHDScenario13DS75,,13,0.601140307943352,high1033,13,-0.8486
high1034,CHDScenario2DS32,132,2,0.458639775505428,high1034,2,0.8
high1035,CHDScenario14DS77,,14,0.588795458648423,high1035,14,61.11
high1036,CHDScenario7DS44,,7,0.196176577017585,high1036,7,0
high1037,CHDScenario3DS98,,3,0.985152436724717,high1037,3,-0.800000000000001
high1038,CHDScenario13DS82,,13,0.237837565618738,high1038,13,-0.8486
high1039,CHDScenario9DS97,,9,0.368762205854095,high1039,9,12.62
high104,CHDScenario13DS4,,13,0.834201618351954,high104,13,-0.8486
high1040,CHDScenario10DS62,,10,0.0971558942871727,high1040,10,9.134
high1041,CHDScenario2DS20,120,2,0.880671188613506,high1041,2,0.8
high1042,CHDScenario13DS76,,13,0.343070824510479,high1042,13,-0.8486
high1043,CHDScenario5DS4,,5,0.562298899844868,high1043,5,-0.3429
high1044,CHDScenario11DS33,,11,0.372472084303859,high1044,11,10.77
high1045,CHDScenario8DS89,,8,0.516207083198759,high1045,8,-1.432
high1046,CHDScenario15DS8,,15,0.799908521604526,high1046,15,-0.16058
high1047,CHDScenario15DS73,,15,0.392157010142749,high1047,15,-0.16058
high1048,CHDScenario9DS30,,9,0.444761991474045,high1048,9,12.62
high1049,CHDScenario1DS17,17,1,0.0267405343577791,high1049,1,0.2
high105,CHDScenario6DS36,,6,0.485557869477313,high105,6,-1.1039
high1050,CHDScenario12DS57,,12,0.0264439091361074,high1050,12,-3.159
high1051,CHDScenario9DS89,,9,0.854885052752475,high1051,9,12.62
high1052,CHDScenario11DS3,,11,0.00474626791412824,high1052,11,10.77
high1053,CHDScenario2DS63,163,2,0.590456306646832,high1053,2,0.8
high1054,CHDScenario2DS13,113,2,0.531816351878513,high1054,2,0.8
high1055,CHDScenario4DS93,,4,0.0760829182031981,high1055,4,2.1
high1056,CHDScenario5DS31,,5,0.288456838845424,high1056,5,-0.3429
high1057,CHDScenario1DS88,88,1,0.863061914365436,high1057,1,0.2
high1058,CHDScenario4DS60,,4,0.407171413879671,high1058,4,2.1
high1059,CHDScenario13DS33,,13,0.576811256226918,high1059,13,-0.8486
high106,CHDScenario4DS45,,4,0.243471850131124,high106,4,2.1
high1060,CHDScenario15DS60,,15,0.176190762967908,high1060,15,-0.16058
high1061,CHDScenario11DS58,,11,0.936449578724795,high1061,11,10.77
high1062,CHDScenario3DS7,,3,0.92281738307664,high1062,3,-0.800000000000001
high1063,CHDScenario7DS49,,7,0.0449384850110199,high1063,7,0
high1064,CHDScenario8DS29,,8,0.268018180627513,high1064,8,-1.432
high1065,CHDScenario14DS26,,14,0.417841379197451,high1065,14,61.11
high1066,CHDScenario14DS10,,14,0.83473921981531,high1066,14,61.11
high1067,CHDScenario3DS32,,3,0.432073951232472,high1067,3,-0.800000000000001
