,Date,StockCode,Country,Description,Quantity,revenue,UnitPrice
0,2010-12-01,10002,France,INFLATABLE POLITICAL GLOBE ,48,40.8,0.85
1,2010-12-01,10002,United Kingdom,INFLATABLE POLITICAL GLOBE ,12,10.2,0.85
2,2010-12-01,10125,United Kingdom,MINI FUNKY DESIGN TAPES,2,1.7,0.85
3,2010-12-01,10133,United Kingdom,COLOURING PENCILS BROWN TUBE,5,4.25,0.85
4,2010-12-01,10135,United Kingdom,COLOURING PENCILS BROWN TUBE,1,2.51,2.51
5,2010-12-01,11001,United Kingdom,ASSTD DESIGN RACING CAR PEN,3,10.08,3.36
6,2010-12-01,15044B,United Kingdom,BLUE PAPER PARASOL ,1,2.95,2.95
7,2010-12-01,15056BL,United Kingdom,EDWARDIAN PARASOL BLACK,20,113.0,5.65
8,2010-12-01,15056N,United Kingdom,EDWARDIAN PARASOL NATURAL,50,236.3,4.726
9,2010-12-01,15056P,United Kingdom,EDWARDIAN PARASOL PINK,48,220.79999999999998,4.6
